run_id,meta.task,meta.robot,meta.seed,meta.scenario,meta.level,meta.steps,meta.utc_time,perception.avg_conf,perception.detected,perception.seg_iou,perception.bbox,geometry.pnp_success,geometry.pnp_rmse,geometry.pose_estimate,planning.success,planning.path_cost,planning.collisions,planning.planner,control.track_rmse,control.overshoot,control.oscillation,system.success,system.final_dist_to_goal,system.stop_reason,artifacts.rgb_path,artifacts.mask_path,artifacts.path_plot,scenario,level
2025-10-09T07:30:45Z_0,Lift,Panda,0,occlusion,0.0,150,2025-10-09T07:30:45Z,0.85,True,0.2792207792207792,"[313, 253, 377, 299]",False,6.504056971985215,"[0.5155099698117865, 0.43263198938548947, -0.10386316489624743]",True,0.6172650711403727,0,RRTstar,0.0027557794308275406,0.0,False,True,0.0027557794308275406,,results\artifacts\occlusion_0.0_seed0_rgb.png,results\artifacts\occlusion_0.0_seed0_mask.png,results\artifacts\occlusion_0.0_seed0_path.png,occlusion,0.0
2025-10-09T07:30:45Z_0,Lift,Panda,0,occlusion,0.2,150,2025-10-09T07:30:45Z,0.748,True,0.2757475083056478,"[313, 253, 377, 299]",False,6.252564463719548,"[0.554988816607585, 0.42021434939648583, -0.21116900633400298]",True,0.6172650711403727,0,RRTstar,0.0028941171667896176,0.0,False,True,0.0028941171667896176,,results\artifacts\occlusion_0.2_seed0_rgb.png,results\artifacts\occlusion_0.2_seed0_mask.png,results\artifacts\occlusion_0.2_seed0_path.png,occlusion,0.2
